# Accelerometer Data File
# Started @Tue Feb 21 16:58:22 PST 2023
#
#
# sensor Vendor: BOSCH
# sensor Name: BMI160 Accelerometer
# sensor Resolution: 0.004790957m/sec^2; Max Range: 156.99008; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: LOW
-0.005 -0.002 -0.006 3
0.008 0.036 0.002 2
-0.009 0.037 0.01 3
-0.034 0.037 -0.002 2
-0.035 -0.008 0.009 3
-0.036 -0.004 -0.016 2
0.001 0.017 -0.036 3
0.005 0.016 -0.02 2
0.004 0.006 0.046 3
0.016 -0.033 0.02 2
-0.01 -0.029 -0.037 3
-0.03 0.0 0.013 2
0.04 0.007 0.02 3
-0.005 -0.027 0.018 2
0.015 -0.033 0.0 2
0.014 -0.03 -0.03 3
0.012 -0.027 0.006 2
0.011 -0.002 0.01 3
0.018 0.023 0.0 2
0.004 0.0 0.0 3
-0.034 0.008 0.004 2
0.037 0.028 -0.042 3
0.037 -0.025 -0.081 2
0.021 -0.023 0.0 3
0.014 0.0 0.029 2
-0.024 -0.046 -0.024 3
-0.026 0.001 0.033 2
0.022 0.009 0.03 3
-0.035 -0.008 0.044 2
-0.014 0.056 -0.003 3
-0.025 0.029 0.005 2
-0.002 0.022 -0.033 3
-0.001 0.033 -0.03 2
0.002 0.038 -0.014 2
-0.04 -0.017 -0.004 3
0.01 -0.019 0.004 2
-0.011 -0.013 -0.051 3
-0.018 -0.007 -0.024 2
-0.012 0.01 -0.047 3
0.009 0.035 -0.039 2
-0.046 0.04 0.025 3
-0.042 -0.002 0.057 2
0.021 0.01 0.0 3
0.054 -0.037 -0.017 2
0.005 0.004 0.027 3
0.017 -0.021 0.015 2
0.003 0.014 0.005 3
0.011 0.052 0.005 2
0.027 -0.021 0.043 3
0.011 -0.006 0.043 2
0.002 0.002 0.017 3
0.027 -0.027 0.002 2
0.033 0.005 -0.036 2
0.017 0.026 -0.032 3
0.002 0.032 -0.007 2
0.006 0.024 0.023 3
0.027 -0.016 0.042 2
0.011 -0.032 -0.004 3
-0.01 0.022 0.017 2
-0.035 -0.001 0.019 3
-0.027 -0.018 -0.012 2
-0.033 0.009 -0.032 3
-0.008 0.047 0.009 2
0.0 0.038 0.025 3
-0.025 0.004 0.014 2
-0.022 0.008 0.0 3
-0.02 -0.001 0.0 2
-0.035 -0.005 0.004 3
-0.035 0.016 -0.03 2
-0.015 -0.006 -0.057 3
0.011 0.024 -0.064 2
0.006 0.039 0.036 3
0.022 -0.055 0.032 2
0.003 -0.019 -0.013 2
-0.009 0.016 0.026 3
0.012 0.028 0.028 2
0.007 0.008 0.008 3
-0.023 -0.001 0.007 2
-0.017 -0.065 0.019 3
0.006 -0.024 0.051 2
-0.003 0.007 0.003 3
0.036 0.007 -0.013 2
0.028 -0.028 -0.016 3
-0.004 0.022 0.01 2
-0.038 0.006 -0.011 3
0.016 -0.015 0.019 2
0.006 -0.005 0.055 3
0.018 -0.034 0.02 2
-0.034 -0.031 -0.003 3
-0.022 -0.045 -0.066 2
0.005 0.023 -0.098 3
-0.029 0.012 0.035 2
-0.013 -0.001 0.027 2
0.013 -0.009 0.007 3
0.033 -0.004 0.028 2
0.038 -0.03 -0.051 3
0.018 0.003 -0.046 2
-0.005 0.037 0.0 3
-0.017 0.0 0.005 2
-0.002 0.007 0.017 3
0.01 -0.027 0.011 2
0.035 -0.041 0.01 3
-0.002 0.013 -0.042 2
0.001 -0.013 0.035 3
-0.007 0.022 0.044 2
-0.002 0.037 -0.016 3
0.04 -0.03 -0.018 2
0.011 0.019 0.026 3
0.018 0.013 0.023 2
0.063 0.037 0.008 3
-0.041 0.008 -0.052 2
-0.019 -0.005 -0.026 2
-0.004 0.003 -0.006 3
0.025 0.029 0.033 2
-0.015 -0.008 0.051 3
-0.014 -0.05 0.024 2
0.008 -0.032 -0.012 3
-0.035 0.0 -0.023 2
-0.018 0.013 -0.017 3
-0.038 0.029 -0.032 2
-0.03 0.026 0.0 3
-0.009 -0.049 -0.003 2
0.012 -0.005 0.018 3
-0.018 0.0 0.02 2
0.004 0.007 -0.024 3
0.068 0.024 -0.017 2
0.039 -0.008 -0.024 3
-0.01 -0.011 0.038 2
-0.005 0.002 0.017 3
0.0 -0.01 -0.01 2
-0.009 -0.018 -0.005 2
-0.021 -0.02 -0.034 3
-0.014 0.007 -0.026 2
-0.039 0.049 -0.002 3
0.003 -0.007 0.006 2
-0.014 0.028 -0.011 3
0.021 -0.009 -0.01 2
0.002 -0.034 0.016 3
0.002 0.016 -0.015 2
-0.011 0.032 -0.065 3
-0.048 -0.009 0.04 2
-0.013 0.004 0.018 3
-0.012 0.0 0.042 2
-0.011 -0.035 0.034 3
0.011 -0.057 0.026 2
0.032 0.03 0.006 3
-0.031 0.031 -0.045 2
-0.015 -0.019 -0.028 3
0.055 0.03 -0.008 2
0.045 -0.007 0.018 2
0.032 -0.071 0.038 3
0.037 0.0 -0.008 2
-0.017 -0.008 -0.029 3
-0.029 -0.007 -0.004 2
0.025 -0.032 0.0 3
0.005 0.018 -0.038 2
0.031 0.02 0.029 3
0.002 -0.011 0.03 2
0.027 -0.014 0.04 3
0.037 0.025 -0.006 2
-0.008 0.027 -0.023 3
0.013 0.007 -0.012 2
-0.005 0.01 -0.006 3
-0.004 -0.003 -0.001 2
0.03 0.018 0.007 3
-0.045 -0.004 0.04 2
-0.019 -0.004 0.006 3
-0.004 -0.033 -0.002 2
